question,reponse,target,lemmas_rep,lemmas_quest,stem_rep,stem_quest
Comment puis-je me procurer des tickets FASTPASSle jour de ma visite aux Parcs et diminuer le temps d’attente dans certaines attractions à succès ?,"Rendez-vous à l'entrée de l'attraction que vous souhaitez vivre.Là, vous avez le choix entre 2 files : la file d'attente traditionnelle (temps d'attente variable indiqué sur un panneau) ou l'accès FASTPASS.  Si vous choisissez l'accès FASTPASS, scannez votre Pass Annuel dans une borne spéciale, qui vous délivre automatiquement un ticket FASTPASS.C'est une réservation gratuite indiquant un créneau horaire durant lequel revenir : votre ""rendez-vous"" avec l'attraction indiquée est précisé sur le ticket. Ne le perdez pas ! ",1,"Rendez - vous à le entrée de le attraction que vous souhaiter vivre . là , vous avoir le choix entre 2 file : le file de attente traditionnel ( temps de attente variable indiquer sur un panneau ) ou le accès FASTPASS .   si vous choisir le accès FASTPASS , scanner votre pass annuel dans un borne spécial , qui vous délivre automatiquement un ticket FASTPASS.C' être un réservation gratuit indiquer un créneau horaire durant lequel revenir : votre "" rendez - vous "" avec le attraction indiquer être préciser sur le ticket . ne le perdez pas !",comment puis - je me procurer un ticket fastpassl jour de mon visite aux Parcs et diminuer le temps d’ attente dans certain attraction à succès ?,"rendez-vous à l'entr de l'attract que vous souhait vivre.là , vous avez le choix entre 2 fil : la fil d'attent traditionnel ( temp d'attent variabl indiqu sur un panneau ) ou l'acces fastpass . si vous chois l'acces fastpass , scann votr pass annuel dan une born spécial , qui vous délivr automat un ticket fastpass.c'est une réserv gratuit indiqu un créneau horair dur lequel reven : votr `` rendez-vous '' avec l'attract indiqu est précis sur le ticket . ne le perd pas !",comment puis-j me procur de ticket fastpassl jour de ma visit aux parc et diminu le temp d ’ attent dan certain attract à succes ?
Est-ce possible de prendre un repas avec des personnages Disney?,"Bien sûr ! Les personnages Disney sont toujours heureux de partager un bon repas avec les visiteurs. Vous pouvez choisir entre le petit-déjeuner, le déjeuner et le dîner lorsque vous réservez votre repas avec des personnages Disney.Vous trouverez également des personnages Disney dans l'ensemble du Parc aux attractions et lieux de rencontre dédiés.Pourquoi ne pas fêter un anniversaire en mangeant du gâteau avec les personnages ?",1,"bien sûr ! le personnage Disney être toujours heureux de partager un bon repas avec le visiteur . vous pouvoir choisir entre le petit-déjeuner , le déjeuner et le dîner lorsque vous réserver votre repas avec un personnage Disney . vous trouver également un personnage Disney dans le ensemble de parc aux attraction et lieux de rencontre dédier . pourquoi ne pas fêter un anniversaire en manger de gâteau avec le personnage ?",être ce possible de prendre un repas avec un personnage Disney ?,"bien sûr ! le personnag disney sont toujour heureux de partag un bon rep avec le visiteur . vous pouv chois entre le petit-déjeun , le déjeun et le dîn lorsqu vous réserv votr rep avec de personnag disney.vous trouv égal de personnag disney dan l'ensembl du parc aux attract et lieux de rencontr dédiés.pourquoi ne pas fêt un anniversair en mang du gâteau avec le personnag ?",est-ce possibl de prendr un rep avec de personnag disney ?
Est-ce que je vais recevoir une offre de renouvellement lorsque mon Pass Annuel arrivera à expiration ?,"Lorsque votre Pass Annuel arrivera à expiration, vous recevrez un e-mail ou un courrier postal avant la date d’expiration avec une offre de renouvellement 16 mois au prix de 12.",1,"lorsque votre Pass annuel arriver à expiration , vous recevoir un e-mail ou un courrier postal avant le date d’ expiration avec un offre de renouvellement 16 mois au prix de 12 .",être ce que je aller recevoir un offre de renouvellement lorsque mon Pass annuel arriver à expiration ?,"lorsqu votr pass annuel arriv à expir , vous recevr un e-mail ou un courri postal avant la dat d ’ expir avec une offre de renouvel 16 mois au prix de 12 .",est-ce que je vais recevoir une offre de renouvel lorsqu mon pass annuel arriv à expir ?
Est-il possible de recevoir un Pass Annuel directement chez soi ?,"Vous pouvez recevoir votre Pass Annuel directement chez vous, en l'achetant sur notre boutique en ligne en cliquant ici.Le délai d'envoi du Pass Annuel après réception de la demande complète est de 15 jours ouvrés pour la France métropolitaine et de 25 jours ouvrés pour les autres pays de la zone SEPA.",1,"vous pouvoir recevoir votre Pass annuel directement chez vous , en l' acheter sur notre boutique en ligne en cliquer ici . le délai de envoi de Pass annuel après réception de le demande complet être de 15 jour ouvrer pour le France métropolitain et de 25 jour ouvrer pour le autre pays de le zone sepa .",est - il possible de recevoir un pass annuel directement chez soi ?,"vous pouv recevoir votr pass annuel direct chez vous , en l'achet sur notr boutiqu en lign en cliqu ici.l del d'envoi du pass annuel apres récept de la demand complet est de 15 jour ouvr pour la franc métropolitain et de 25 jour ouvr pour le autr pay de la zon sep .",est-il possibl de recevoir un pass annuel direct chez soi ?
Existe-t-il des visites guidées des Parcs Disney?,"Oui. Des visites guidées sont organisées pour vous faire découvrir l'histoire et l'architecture du Parc Disneyland ou du Parc Walt Disney Studios. Vous pouvez également choisir de vous faire accompagner par un Guide VIP qui organisera votre journée selon vos envies : réservations de restaurants, places privilégiées pour les spectacles et parades... Grâce à lui, vous profiterez de la magie Disney en toute sérénité !Comment réserverJusqu’à 14 jours avant votre arrivée en contactant la Centrale de Réservation au 0 825 300 500 (Service 0,15 €/min + prix appel)Le jour J en vous dirigeant vers City Hall dans le Parc Disneyland",1,"oui . un visite guider être organiser pour vous faire découvrir le histoire et le architecture de parc Disneyland ou de parc Walt Disney studio . vous pouvoir également choisir de vous faire accompagner par un guide VIP qui organiser votre journée selon votre envie : réservation de restaurant , place privilégier pour le spectacle et parade ... grâce à lui , vous profiter de le magie Disney en tout sérénité ! comment réserverjusqu’ à 14 jour avant votre arrivée en contacter le centrale de réservation au 0 825 300 500 ( service 0,15 euro /min plus prix appel)l jour j en vous diriger vers City Hall dans le parc Disneyland",existe - t - il un visite guider un parc Disney ?,"oui . de visit guid sont organis pour vous fair découvr l'histoir et l'architectur du parc disneyland ou du parc walt disney studios . vous pouv égal chois de vous fair accompagn par un guid vip qui organis votr journ selon vos envi : réserv de restaur , plac privilégi pour le spectacl et parad ... grâc à lui , vous profit de la mag disney en tout séren ! comment réserverjusqu ’ à 14 jour avant votr arriv en contact la central de réserv au 0 825 300 500 ( servic 0,15 €/min + prix appel ) le jour j en vous dirig ver city hall dan le parc disneyland",existe-t-il de visit guid de parc disney ?
Existe-t-il des visites guidées des Parcs Disney?,"Oui. Des visites guidées sont organisées pour vous faire découvrir l'histoire et l'architecture du Parc Disneyland ou du Parc Walt Disney Studios. Vous pouvez également choisir de vous faire accompagner par un Guide VIP qui organisera votre journée selon vos envies : réservations de restaurants, places privilégiées pour les spectacles et parades... Grâce à lui, vous profiterez de la magie Disney en toute sérénité !Comment réserverJusqu’à 14 jours avant votre arrivée en contactant la Centrale de Réservation au 0 825 300 500 (Service 0,15 €/min + prix appel)Le jour J en vous dirigeant vers City Hall dans le Parc Disneyland",1,"oui . un visite guider être organiser pour vous faire découvrir le histoire et le architecture de parc Disneyland ou de parc Walt Disney studio . vous pouvoir également choisir de vous faire accompagner par un guide VIP qui organiser votre journée selon votre envie : réservation de restaurant , place privilégier pour le spectacle et parade ... grâce à lui , vous profiter de le magie Disney en tout sérénité ! comment réserverjusqu’ à 14 jour avant votre arrivée en contacter le centrale de réservation au 0 825 300 500 ( service 0,15 euro /min plus prix appel)l jour j en vous diriger vers City Hall dans le parc Disneyland",existe - t - il un visite guider un parc Disney ?,"oui . de visit guid sont organis pour vous fair découvr l'histoir et l'architectur du parc disneyland ou du parc walt disney studios . vous pouv égal chois de vous fair accompagn par un guid vip qui organis votr journ selon vos envi : réserv de restaur , plac privilégi pour le spectacl et parad ... grâc à lui , vous profit de la mag disney en tout séren ! comment réserverjusqu ’ à 14 jour avant votr arriv en contact la central de réserv au 0 825 300 500 ( servic 0,15 €/min + prix appel ) le jour j en vous dirig ver city hall dan le parc disneyland",existe-t-il de visit guid de parc disney ?
Existe-t-il un service Objets trouvés dans les Parcs Disney?,"Oui. Si vous perdez ou trouvez un objet au cours de votre aventure, rendez-vous dans l'un de nos points Objets trouvés :Au City Hall du Parc Disneyland ;à côté des Studio Services au Parc Walt Disney Studios.Repérez-les dès maintenant à l'aide de la carte interactive de Disneyland Paris.",1,"oui . si vous perdre ou trouvez un objet au cours de votre aventure , rendre - vous dans le un de notre point objet trouver : au City Hall de parc Disneyland ; à côté un Studio service au parc Walt Disney studio . Repérez - le dès maintenant à le aide de le carte interactif de Disneyland Paris .",existe - t - il un service objet trouver dans le parc Disney ?,"oui . si vous perd ou trouv un objet au cour de votr aventur , rendez-vous dan l'un de nos point objet trouv : au city hall du parc disneyland ; à côt de studio servic au parc walt disney studios.repérez-l des mainten à l'aid de la cart interact de disneyland paris .",existe-t-il un servic objet trouv dan le parc disney ?
"J'ai une question mais je ne trouve pas la réponse dans cette rubrique, que puis-je faire?",Pour obtenir tout renseignement vous pouvez contacter notre ligne dédiée au Pass Annuel :France : n°Indigo 0 825 825 100 (0.15€ TTC / MN) disponible entre 11h et 19hBelgique : 078 156 024 (prix des appels selon le tarif national en vigueur),1,pour obtenir tout renseignement vous pouvoir contacter notre ligne dédiée au Pass Annuel : France : n degré indigo 0 825 825 100 ( 0.15 € ttc sur minute ) disponible entre 11h et 19hbelgiqu : 078 156 024 ( prix un appel selon le tarif national en vigueur ),"je avoir un question mais je ne trouve pas le réponse dans ce rubrique , que puis - je faire ?",pour obten tout renseign vous pouv contact notr lign dédi au pass annuel : franc : n°indigo 0 825 825 100 ( 0.15€ ttc / mn ) disponibl entre 11h et 19hbelgiqu : 078 156 024 ( prix de appel selon le tarif national en vigueur ),"j'ai une question mais je ne trouv pas la répons dan cet rubriqu , que puis-j fair ?"
Je suis handicapé. Est-ce que je bénéficie d'un accès spécial aux attractions et spectacles?,"Oui. Vous pouvez obtenir de l'aide pour accéder aux attractions Disney avec une Carte d'accès. Elle vous permet un accès spécifique aux attractions, mais non immédiat selon l'affluence de nos visiteurs, sur l'ensemble de nos Parcs pour vous et vos accompagnateurs. Consultez nos Plans de l'Accessibilité dans les Parcs Disney.Découvrez quelles attractions vous conviennent.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux visiteurs en situation de handicap.",1,"oui . vous pouvoir obtenir de le aide pour accéder aux attraction disney avec un carte de accès . lui vous permettre un accès spécifique aux attraction , mais non immédiat selon le affluence de notre visiteur , sur le ensemble de notre parc pour vous et votre accompagnateur . consulter notre plan de le accessibilité dans le parc Disney . Découvrez quel attraction vous convenir . découvrir notre forfait hôtel , parcs et transfert convenir aux visiteur en situation de handicap .",je être handicapé . être ce que je bénéficier de un accès spécial aux attraction et spectacle ?,"oui . vous pouv obten de l'aid pour acced aux attract disney avec une cart d'acces . elle vous permet un acces spécif aux attract , mais non immédiat selon l'affluenc de nos visiteur , sur l'ensembl de nos parc pour vous et vos accompagn . consult nos plan de l'accessibil dan le parc disney.découvr quel attract vous conviennent.découvr nos forfait hôtel , parc et transfert conven aux visiteur en situat de handicap .",je suis handicap . est-ce que je bénéfic d'un acces spécial aux attract et spectacl ?
Je suis handicapé. Quelles attractions me conviennent?,"Disneyland Paris est doté d'attractions convenant à tous les visiteurs. Beaucoup d'entre elles sont accessibles aux fauteuils roulants et d'autres nécessitent un transfert. Certaines attractions sont équipées de boucles magnétiques pour les malentendants. Vous pouvez découvrir en ligne quelles attractions vous conviendraient. Dans les Parcs, des symboles sont présents à côté de chaque attraction, signalant les limitations ou restrictions. Pour plus d'informations, reportez-vous aux Plans de l'Accessibilité dans les Parcs Disney.Découvrez toutes les informations à connaître pour les visiteurs en situation de handicap",1,"Disneyland Paris être doter de attraction convenir à tout le visiteur . beaucoup de entre lui être accessible al fauteuil roulant et d' autre nécessiter un transfert . certain attraction être équiper de boucle magnétique pour le malentendant . vous pouvoir découvrir en ligne quel attraction vous convenir . dans le parc , un symbole être présent à côté de chaque attraction , signaler le limitation ou restriction . pour plus de information , reportez - vous al plan de le accessibilité dans le parc Disney . Découvrez tout le information à connaître pour le visiteur en situation de handicap",je être handicapé . quel attraction me convenir ?,"disneyland paris est dot d'attract conven à tous le visiteur . beaucoup d'entr elle sont accessibl aux fauteuil roul et d'autr nécessitent un transfert . certain attract sont équip de boucl magnet pour le malentend . vous pouv découvr en lign quel attract vous conviendr . dan le parc , de symbol sont présent à côt de chaqu attract , signal le limit ou restrict . pour plus d'inform , reportez-vous aux plan de l'accessibil dan le parc disney.découvr tout le inform à connaîtr pour le visiteur en situat de handicap",je suis handicap . quel attract me conviennent ?
"Je vais prendre le train pour me rendre à Disneyland Paris, y a-t-il une gare à proximité des Parcs Disney?","La gare ferroviaire de Marne-la-Vallée/Chessy est située juste à l'entrée des Parcs Disney et à 2 minutes seulement des hôtels Disney.Consultez notre carte interactive pour localiser la gare de Marne-la-Vallée/Chessy et voir à quel point elle est proche de la magie !Avec le service bagages Disney Express, vous serez plongé dans la magie Disney dès votre arrivée. Laissez vos sacs au guichet Disney Express à la gare, récupérez vos billets et nous déposerons vos bagages à l'hôtel pour que vous puissiez immédiatement profiter des Parcs.Découvrez nos forfaits hôtels, Parcs et transfert.",1,"le gare ferroviaire de Marne - le - vallée / Chessy être situer juste à le entrée un parc disney et à 2 minute seulement un hôtel disney . consulter notre carte interactif pour localiser le gare de Marne - le - vallée / Chessy et voir à quel point lui être proche de le magie ! avec le service bagages Disney Express , vous être plonger dans le magie disney dès votre arrivée . laisser votre sac au guichet disney Express à le gare , récupérer votre billet et nous déposer votre bagage à le hôtel pour que vous pouvoir immédiatement profiter un parc . découvrir notre forfait hôtel , parcs et transfert .","je aller prendre le train pour me rendre à Disneyland Paris , y avoir t il un gare à proximité un parc Disney ?","la gar ferroviair de marne-la-vallée/chessy est situ just à l'entr de parc disney et à 2 minut seul de hôtel disney.consult notr cart interact pour localis la gar de marne-la-vallée/chessy et voir à quel point elle est proch de la mag ! avec le servic bagag disney express , vous ser plong dan la mag disney des votr arriv . laiss vos sac au guichet disney express à la gar , récuper vos billet et nous dépos vos bagag à l'hôtel pour que vous puiss immédiat profit de parcs.découvr nos forfait hôtel , parc et transfert .","je vais prendr le train pour me rendr à disneyland paris , y a-t-il une gar à proxim de parc disney ?"
"J’ai bénéficié des mois gratuits de l’offre de Parrainage et je souhaite l’échanger contre un nouveau Pass Annuel, quel prix dois-je payer ?",Le détenteur doit s’acquitter du montant total du Pass Annuel souhaité.,1,le détenteur devoir s’ acquitter de montant total de pass annuel souhaité .,"j’ avoir bénéficier un mois gratuit de l’ offre de parrainage et je souhaite l’ échanger contre un nouveau Pass annuel , quel prix dois - je payer ?",le détenteur doit s ’ acquitt du mont total du pass annuel souhait .,"j ’ ai bénéfici de mois gratuit de l ’ offre de parrainag et je souhait l ’ échang contr un nouveau pass annuel , quel prix dois-j pai ?"
