question,reponse,lemmas_rep,lemmas_quest,stem_rep,stem_quest
En quoi consistent les parades et spectacles saisonniers Disneyland Paris ?,"Vous pouvez consulter les spectacles et parades de saison à venir en ligne. Il se passe toujours quelque chose de palpitant, des apparitions d'Halloween à la magie de Noël. Ne manquez rien, réservez dès maintenant !","vous pouvoir consulter le spectacle et parade de saison à venir en ligne . il se passer toujours quelque chose de palpiter , un apparition de Halloween à le magie de Noël . ne manquer rien , réservez dès maintenant !",en quoi consister le parades et spectacle saisonnier Disneyland Paris ?,"vous pouv consult le spectacl et parad de saison à ven en lign . il se pass toujour quelqu chos de palpit , de apparit d'halloween à la mag de noël . ne manqu rien , réserv des mainten !",en quoi consistent le parad et spectacl saisonni disneyland paris ?
Les jours de restrictions s’appliquent-t-ils si l’on séjourne dans un hôtel Disney ?,"Il n’y a pas de restrictions lorsque l’on séjourne dans un hôtel Disney. Sauf en cas d’achat d’un Pass Annuel Discovery, il n’est pas possible d’accéder aux Parcs les 2ème et 3ème jours suivant la production du PA définitif (même en cas de séjour dans un Hôtel Disney).","il n’ y avoir pas de restriction lorsque l’ on séjourne dans un hôtel Disney . sauf en cas d’ achat d’ un pass annuel discovery , il n’ être pas possible d’ accéder aux parc le 2ème et 3ème jour suivre le production de pa définitif ( même en cas de séjour dans un hôtel Disney ) .",le jour de restriction s’ appliquer - t - il si l’ on séjourne dans un hôtel Disney ?,"il n ’ y a pas de restrict lorsqu l ’ on séjourn dan un hôtel disney . sauf en cas d ’ achat d ’ un pass annuel discovery , il n ’ est pas possibl d ’ acced aux parc le 2em et 3em jour suiv la product du pa définit ( mêm en cas de séjour dan un hôtel disney ) .",le jour de restrict s ’ appliquent-t-il si l ’ on séjourn dan un hôtel disney ?
Quelles sont les mesures de sécurité mises en place à Disneyland Paris ?,"Rien n’a plus d’importance que la sécurité de nos visiteurs et de nos employés. Nous travaillons en étroite collaboration avec les autorités compétentes et les forces de l’ordre, et ce depuis longtemps. Les mesures de sécurité sur le site ont été renforcées. Certaines de nos mesures sont visibles pour nos visiteurs (par exemple : le contrôle des sacs et les équipes de sécurité), mais d’autres resteront invisibles. Nous ne souhaitons pas commenter ces mesures afin de ne pas compromettre leur efficacité.","rien n’ avoir plus d’ importance que le sécurité de notre visiteur et de notre employé . nous travailler en étroit collaboration avec le autorité compétent et le force de l’ ordre , et ce depuis longtemps . le mesure de sécurité sur le site avoir être renforcer . certains de notre mesure être visible pour notre visiteur ( par exemple : le contrôle un sac et le équipe de sécurité ) , mais d’ autre resteront invisible . nous ne souhaitons pas commenter ce mesure afin de ne pas compromettre leur efficacité .",quelle être le mesure de sécurité mettre en place à Disneyland Paris ?,"rien n ’ a plus d ’ import que la sécur de nos visiteur et de nos emploi . nous travaillon en étroit collabor avec le autor compétent et le forc de l ’ ordre , et ce depuis longtemp . le mesur de sécur sur le sit ont été renforc . certain de nos mesur sont visibl pour nos visiteur ( par exempl : le contrôl de sac et le équip de sécur ) , mais d ’ autr rest invisibl . nous ne souhaiton pas comment ce mesur afin de ne pas compromettr leur efficac .",quel sont le mesur de sécur mis en plac à disneyland paris ?
"Si je modifie ma réservation, devrai-je payer davantage à cause de l'augmentation de la TVA ?","Si vous modifiez votre réservation, le nouveau tarif des éléments modifiés inclura le changement de TVA.","si vous modifier votre réservation , le nouveau tarif un élément modifier inclure le changement de TVA .","si je modifier mon réservation , devoir - je payer davantage à cause de le augmentation de le TVA ?","si vous modif votr réserv , le nouveau tarif de élément modifi inclur le chang de tva .","si je modif ma réserv , devrai-j pai davantag à caus de l'augment de la tva ?"
Où trouver un plan de Disneyland Paris et des Parcs Disney ?,"Explorez les Parcs Disney à l'aide de notre carte interactive en ligne de Disneyland Paris. Vous pouvez planifier votre aventure avant votre arrivée en explorant le Parc Disneyland et le Parc Walt Disney Studios. Localisez votre hôtel Disney idéal et découvrez les attractions, spectacles, parades et restaurants qui vous intéressent.  Et le jour venu, à l'entrée du Parc, obtenez une carte détaillée aux guichets des parcs Disney et au City Hall du Parc Disneyland.","explorez le parc Disney à le aide de notre carte interactif en ligne de Disneyland Paris . vous pouvoir planifier votre aventure avant votre arrivée en explorer le parc Disneyland et le parc Walt Disney Studios . localiser votre hôtel Disney idéal et découvrez le attraction , spectacle , parade et restaurant qui vous intéresser .   et le jour venu , à le entrée de parc , obtenir un carte détaillé al guichet un parc Disney et au City hall de parc Disneyland .",où trouver un plan de Disneyland Paris et un parc Disney ?,"explor le parc disney à l'aid de notr cart interact en lign de disneyland paris . vous pouv planifi votr aventur avant votr arriv en explor le parc disneyland et le parc walt disney studios . localis votr hôtel disney idéal et découvr le attract , spectacl , parad et restaur qui vous intéressent . et le jour venu , à l'entr du parc , obten une cart détaill aux guichet de parc disney et au city hall du parc disneyland .",où trouv un plan de disneyland paris et de parc disney ?
Où puis-je me rendre si mon enfant se blesse ou a besoin de soins médicaux ?,"En cas d'urgence, veuillez contacter votre Cast Member (employé Disney) le plus proche.Les centres de Premiers Soins se trouvent :Dans le Parc Disneyland : à Main Street U.S.A. près de Central Plaza.Dans le Parc Walt Disney Studios : derrière les Studio Services.Vous pouvez trouver les centres de Premiers Soins grâce à notre carte interactive de Disneyland Paris.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux familles de tous les âges.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité"".","en cas de urgence , vouloir contacter votre cast Member ( employé Disney ) le plus proche . le centre de premier soin se trouver : dans le parc Disneyland : à Main street u.s.a. près de Central Plaza . dans le parc Walt Disney Studios : derrière le studio Services . vous pouvoir trouver le centre de premier soin grâce à notre carte interactif de Disneyland Paris . découvrez notre forfait hôtel , parc et transfert convenir aux famille de tout le âge . Découvrez plus de conseil malin sécurité pour votre famille sur le site dédier "" le aventurier de le sécurité "" .",où puis - je me rendre si mon enfant se blesse ou avoir besoin de soin médical ?,"en cas d'urgenc , veuill contact votr cast memb ( emploi disney ) le plus proche.l centr de premi soin se trouvent : dan le parc disneyland : à main street u.s.a. pres de central plaza.dan le parc walt disney studios : derri le studio services.vous pouv trouv le centr de premi soin grâc à notr cart interact de disneyland paris.découvr nos forfait hôtel , parc et transfert conven aux famill de tous le âges.découvr plus de conseil malin sécur pour votr famill sur le sit dédi `` le aventuri de la sécur '' .",où puis-j me rendr si mon enfant se bless ou a besoin de soin médical ?
Où puis-je voir les personnages Disney à Disneyland Paris ?,"Disneyland Paris abrite tous vos personnages Disney préférés, et de nombreuses attractions, spectacles et parades accueillent Mickey et ses amis.Vous trouverez les personnages Disney dans les deux Parcs aux lieux de rencontre dédiés et dans certains restaurants. Mais pour être sûr de vivre un moment magique, organisez un dîner que vos enfants n'oublieront jamais.En séjournant dans l’un des Hôtel Disney ou si vous êtes détenteur d’un Passeport Annuel Dream ou Fantasy (hors dates de restriction) ou d’un Pass Annuel Magic Plus ou Infinity, vous pourrez profiter de moments de magie supplémentaires dans nos Parcs Disney à thème tous les jours de votre séjour.  Les Moments de Magie en Plus sont l’occasion de rencontrer des Personnages Disney. Prenez la pose à leurs côtés et n'hésitez pas à leur demander des autographes, ils adorent rencontrer leurs amis du monde entier.* La durée des Moments de Magie en plus peut varier selon la date visite. Les Moments de Magie en plus peuvent avoir lieu soit dans le parc Disneyland soit au WDS selon votre date de visite. Consultez cette page pour plus d’informations.","disneyland Paris abrite tout votre personnage Disney préféré , et de nombreux attraction , spectacle et parades accueillent mickey et son ami . vous trouver le personnage Disney dans le deux parc al lieu de rencontre dédier et dans certain restaurant . mais pour être sûr de vivre un moment magique , organisez un dîner que votre enfant n' oublier jamais . en séjourner dans l’ un un hôtel Disney ou si vous être détenteur d’ un passeport annuel Dream ou fantasy ( hors date de restriction ) ou d’ un pass annuel magic plus ou Infinity , vous pouvoir profiter de moment de magie supplémentaire dans notre parc disney à thème tout le jour de votre séjour .   le moment de magie en plus être l’ occasion de rencontrer un personnage Disney . prendre le pose à leur côté et n' hésiter pas à leur demander un autographe , il adorent rencontrer leur ami de monde entier . * le durée un moment de magie en plus pouvoir varier selon le date visit . le moment de magie en plus pouvoir avoir lieu soit dans le parc Disneyland être au wd selon votre date de visite . consultez ce page pour plus d’ information .",où puis - je voir le personnage disney à Disneyland Paris ?,"disneyland paris abrit tous vos personnag disney préfer , et de nombreux attract , spectacl et parad accueillent mickey et se amis.vous trouv le personnag disney dan le deux parc aux lieux de rencontr dédi et dan certain restaur . mais pour être sûr de vivr un moment magiqu , organis un dîn que vos enfant n'oubli jamais.en séjourn dan l ’ un de hôtel disney ou si vous ête détenteur d ’ un passeport annuel dream ou fantasy ( hor dat de restrict ) ou d ’ un pass annuel magic plus ou infinity , vous pourr profit de moment de mag supplémentair dan nos parc disney à them tous le jour de votr séjour . le moment de mag en plus sont l ’ occas de rencontr de personnag disney . pren la pos à leur côt et n'hésit pas à leur demand de autograph , il adorent rencontr leur amis du mond enti . * la dur de moment de mag en plus peut vari selon la dat visit . le moment de mag en plus peuvent avoir lieu soit dan le parc disneyland soit au wd selon votr dat de visit . consult cet pag pour plus d ’ inform .",où puis-j voir le personnag disney à disneyland paris ?
Comment puis-je payer ma réservation pour Disneyland Paris ?,"Les paiements sur le site internet doivent être réalisés avec une carte de crédit ou une carte de débit internationale, incluant : la carte de paiement officielle de Disneyland Paris Mastercard ou Visa, Paypal, American Express, Carte bleue, JCB, UnionPay International.Les réservations effectuées plus de 30 jours avant la date d’arrivée peuvent également faire l’objet d’un règlement par chèque personnel émis par une banque française et établi à l’ordre d’Euro Disney Vacances ou par Chèques Vacances ou Chèques Cadeaux français (nous consulter pour connaître la liste des Chèques Cadeaux acceptés – pas de rendu de monnaie).Pour plus d’informations sur ces modes de paiement, contactez la centrale de réservation au  0 825 300 500 (Service 0,15 €/min + prix appel).","le paiement sur le site internet devoir être réaliser avec un carte de crédit ou un carte de débit international , inclure : le carte de paiement officiel de Disneyland Paris Mastercard ou viser , paypal , American Express , carte bleue , JCB , UnionPay international . le réservation effectuer plus de 30 jour avant le date d’ arriver pouvoir également faire l’ objet d’ un règlement par chèque personnel émettre par un banque français et établir à l’ ordre d’ Euro Disney vacance ou par chèque vacance ou chèque cadeal français ( nous consulter pour connaître le liste un chèque cadeal accepter – pas de rendu de monnaie).pour plus d’ information sur ce mode de paiement , contacter le centrale de réservation au   0 825 300 500 ( service 0,15 € /min plus prix appel ) .",comment puis - je payer mon réservation pour Disneyland Paris ?,"le pai sur le sit internet doivent être réalis avec une cart de cred ou une cart de deb international , inclu : la cart de pai officiel de disneyland paris mastercard ou vis , paypal , american express , cart bleu , jcb , unionpay international.l réserv effectu plus de 30 jour avant la dat d ’ arriv peuvent égal fair l ’ objet d ’ un regl par chequ personnel émis par une banqu français et établ à l ’ ordre d ’ euro disney vacanc ou par chequ vacanc ou chequ cadeau franc ( nous consult pour connaîtr la list de chequ cadeau accept – pas de rendu de monnai ) .pour plus d ’ inform sur ce mod de pai , contact la central de réserv au 0 825 300 500 ( servic 0,15 €/min + prix appel ) .",comment puis-j pai ma réserv pour disneyland paris ?
Combien de temps faut-il prévoir pour visiter les deux Parcs Disney ?,"Nous recommandons de séjourner 3 jours complets. Deux jours pour le Parc Disneyland et ses cinq mondes magiques, une journée pour le Parc Walt Disney Studios et ses quatre zones pleines d'action. Mais pour profiter totalement de nos attractions, restaurants, spectacles et parades, performances en live au Disney Village et passer du temps au bord de la piscine de votre hôtel, pourquoi ne pas rester une semaine ?Recherchez des billets et réservez votre aventure Disney.","nous recommander de séjourner 3 jour complet . Deux jour pour le parc Disneyland et son cinq monde magique , un journée pour le parc Walt Disney Studios et son quatre zone plein de action . mais pour profiter totalement de notre attraction , restaurant , spectacle et parades , performance en live au disney Village et passer de temps au bord de le piscine de votre hôtel , pourquoi ne pas rester un semaine ? recherchez un billet et réserver votre aventure disney .",combien de temps falloir - il prévoir pour visiter le deux parc Disney ?,"nous recommandon de séjourn 3 jour complet . deux jour pour le parc disneyland et se cinq mond magiqu , une journ pour le parc walt disney studios et se quatr zon plein d'action . mais pour profit total de nos attract , restaur , spectacl et parad , perform en liv au disney villag et pass du temp au bord de la piscin de votr hôtel , pourquoi ne pas rest une semain ? recherch de billet et réserv votr aventur disney .",combien de temp faut-il prévoir pour visit le deux parc disney ?
Comment puis-je payer le solde de ma réservation ?,"Pour payer votre solde, rendez-vous sur www.disneylandparis.com, dans la rubrique « Mon compte ». Si vous n’avez pas encore de compte, il est nécessaire d’en créer un.Rendez-vous dans l’onglet « Mes réservations » et renseignez le numéro de votre réservation ainsi que le nom d’un participant au séjour.Ces informations vous permettront d’accéder aux détails de votre réservation et procéder au paiement du solde.","pour payer votre solde , rendez - vous sur www.disneylandparis.com , dans le rubrique « mon compte » . si vous n’ avoir pas encore de compte , il être nécessaire d’ en créer un . rendez - vous dans l’ onglet « mon réservation » et renseignez le numéro de votre réservation ainsi que le nom d’ un participant au séjour . ce information vous permettre d’ accéder al détails de votre réservation et procéder au paiement de solde .",comment puis - je payer le solde de mon réservation ?,"pour pai votr sold , rendez-vous sur www.disneylandparis.com , dan la rubriqu « mon compt » . si vous n ’ avez pas encor de compt , il est nécessair d ’ en cré un.rendez-vous dan l ’ onglet « me réserv » et renseign le numéro de votr réserv ains que le nom d ’ un particip au séjour.c inform vous permettront d ’ acced aux détail de votr réserv et proced au pai du sold .",comment puis-j pai le sold de ma réserv ?
Que faire si mon enfant se perd dans un Parc Disney ?,"Avisez-en immédiatement le Cast Member (employé Disney) le plus proche. Ils préviendront la sécurité et vous aideront à trouver votre enfant le plus rapidement possible.Il existe deux Rendez-vous Enfants Perdus :Dans le Parc Disneyland : entre le Plaza Gardens Restaurant et le poste de Premiers Soins.Dans le Parc Walt Disney Studios : à l'entrée, à côté des Studio Services.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité"".","avisez - en immédiatement le Cast Member ( employé Disney ) le plus proche . il prévenir le sécurité et vous aider à trouver votre enfant le plus rapidement possible . il existe deux rendez - vous enfant perdu : dans le parc Disneyland : entre le plaza Gardens restaurant et le poste de premier soin . dans le parc Walt Disney Studios : à le entrée , à côté un studio service . Découvrez plus de conseil malin sécurité pour votre famille sur le site dédier "" le aventurier de le sécurité "" .",que faire si mon enfant se perdre dans un parc Disney ?,"avisez-en immédiat le cast memb ( emploi disney ) le plus proch . il préviendront la sécur et vous aid à trouv votr enfant le plus rapid possible.il exist deux rendez-vous enfant perdus : dan le parc disneyland : entre le plaz garden restaur et le post de premi soins.dan le parc walt disney studios : à l'entr , à côt de studio services.découvr plus de conseil malin sécur pour votr famill sur le sit dédi `` le aventuri de la sécur '' .",que fair si mon enfant se perd dan un parc disney ?
