,question,reponse
24,Y a-t-il des choses à faire s'il pleut lors de mon séjour à Disneyland Paris ?,"Oui. Pas d'inquiétude, Disneyland Paris regorge d'attractions à l'abri de la pluie. Pour votre sécurité, l'accès à certaines attractions pourra être restreint sans avertissement préalable pour cause de conditions climatiques défavorables, comme en cas de fortes pluies ou de vents violents. Vous trouverez néanmoins de nombreuses boutiques, restaurants et spectacles couverts. Quel que soit le temps, votre séjour sera magique."
25,Les accompagnants d'un Pass Annuel Magic Plus ou Infinity peuvent-ils également profiter de l'accès dédié à l’entrée des parcs ?,Seuls les détenteurs d’un Pass Annuel Magic Plus et d’un Pass Annuel Infinity ainsi que les détenteurs d’un Billet Privilège pourront profiter de l’accès dédié à l’entrée des Parcs.
26,Avez-vous des accords spéciaux avec des sociétés de location de véhicules ?,"Oui. Disney a signé un partenariat avec Hertz afin de vous offrir un large choix de véhicules de location et de services exclusifs qui vous permettront de voyager en toute liberté.Découvrez nos forfaits hôtels, Parcs et transfert."
27,"Avec les Billets Privilèges, l’offre Billets Amis est-elle amenée à disparaître ?",Les Billets Privilèges sont disponibles en complément des offres ponctuelles Billets Amis.
28,Quels hôtels seront en cours de rénovation ou de remise en état au moment de ma visite ?,Consultez notre calendrier de remise en état actuel pour nos hôtels. Veuillez nous excuser si l'hôtel dans lequel vous souhaitez séjourner n'est pas disponible. Les rénovations permettent de garantir un fonctionnement répondant à nos exigences strictes pour chaque visiteur.
29,Quels types de cookies peuvent être utilisés sur le site Disneyland Paris ?,"Les cookies pouvant être utilisés sur notre site Web appartiennent aux quatre catégories décrites ci-dessous. Ces descriptions peuvent vous aider à décider du type d'interactions que vous souhaitez avoir avec notre site Web et d'autres services en ligne.Cookies strictement nécessairesCes cookies sont essentiels pour assurer votre capacité à naviguer sur ce site Web et à utiliser certaines fonctions. Sans ces cookies strictement nécessaires, les services en ligne que vous avez demandés, comme les paniers d'achat et l'affichage de votre facture au moment du passage de la commande, ne peuvent être fournis. Aucun consentement n'est requis pour les cookies strictement nécessaires, car ils sont requis pour que nous vous fournissions les services demandés.Cookies de performanceNous (ou les prestataires de service opérant pour notre compte) sommes susceptibles de placer des cookies de performance sur votre appareil. Les informations recueillies à l'aide de nos cookies de performance sont utilisées uniquement par nous ou pour notre compte. Nos cookies de performance recueillent des informations anonymes sur l'utilisation de ce site et de ses fonctions. Les informations recueillies peuvent être utilisées pour personnaliser votre expérience en ligne en vous montrant du contenu qui pourrait vous intéresser ou en limitant le nombre de fois que vous verrez la même publicité. Nos cookies de performance ne recueillent pas d'informations vous identifiant personnellement. Cependant, si vous avez un compte avec nous, les informations que nous avons recueillies par le biais de nos cookies de performance peuvent être associées à votre compte. Nous pouvons aussi autoriser les annonceurs tiers à placer leurs cookies de performance sur votre appareil via leurs publicités sur ce site Web. Les informations recueillies par ces cookies de performance tiers sont utilisées pour déterminer les publicités tierces à afficher sur ce site Web, la fréquence de leurs apparitions et les emplacements les plus efficaces sur ce site Web. Ces cookies de performance tiers ne recueillent pas d'informations vous identifiant personnellement. Nous vous avertissons et plaçons un lien vers notre politique relative aux cookies en bas de chaque page de ce site Web. En utilisant et en continuant d'utiliser ce site Web et ses fonctionnalités, vous donnez votre accord pour que nous (et les annonceurs tiers sur ce site Web) puissions placer des cookies de performance sur votre appareil.Cookies de fonctionnalitéNous (ou les prestataires de service opérant pour notre compte) pourrons placer des cookies de fonctionnalité sur votre appareil. Nous ne partageons pas les informations recueillies via nos cookies de fonctionnalité avec nos annonceurs ou avec des tiers. Nos cookies de fonctionnalité sont utilisés pour garder en mémoire les choix que vous effectuez (comme les préférences linguistiques, votre pays et d'autres paramètres Internet) et fournir les fonctionnalités personnalisées ou améliorées que vous sélectionnez. Nos cookies de fonctionnalité peuvent être utilisés pour vous fournir des services en ligne ou pour empêcher que des services en ligne vous soient proposés si vous avez précédemment indiqué que vous ne souhaitiez pas recevoir de telles offres. Nos cookies de fonctionnalité recueillent des informations anonymes. Cependant, si vous avez un compte avec nous, les informations que nous recueillons via nos cookies de fonctionnalité peuvent être associées à votre compte. Dans certains cas, nous pouvons autoriser un annonceur ou un tiers à vous fournir des contenus et autres expériences en ligne sur ce site Web ou des services en ligne. Dans ces cas-là, les tiers peuvent placer leurs cookies de fonctionnalité sur votre appareil et les utiliser de la même manière que nous utilisons les nôtres, afin de vous fournir des fonctionnalités personnalisées ou améliorées pour les contenus ou expériences tierces. En sélectionnant des options ou paramètres personnalisés ou des fonctionnalités améliorées, vous indiquez votre consentement à notre utilisation (et à l'utilisation par des tiers autorisés) des cookies de fonctionnalité afin de fournir ces expériences personnalisées. Si vous supprimez ces cookies de fonctionnalité, toutes préférences et tous paramètres sélectionnés ne seront pas gardés en mémoire lors de vos prochaines visites.Cookies de publicités ciblées tiercesDes cookies de publicités ciblées tierces peuvent être placés sur votre appareil par des annonceurs tiers, des réseaux d'annonceurs, des systèmes d'échange de données, des outils d'analyse marketing et d'autres prestataires de services. Les cookies de publicités ciblées tierces recueillent des informations sur votre activité de navigation sur plusieurs sites Web et services en ligne afin de vous fournir des publicités pertinentes sur nos sites Web et services en ligne et les sites Web et services en ligne de tiers. Les réseaux d'annonceurs peuvent partager ces données avec leurs annonceurs par l'intermédiaire de leur réseau. Les informations recueillies à l'aide de ces cookies de publicités tierces ne vous identifient pas personnellement."
30,Existe-t-il des visites guidées des Parcs Disney ?,"Oui. Des visites guidées sont organisées pour vous faire découvrir l'histoire et l'architecture du Parc Disneyland ou du Parc Walt Disney Studios. Vous pouvez également choisir de vous faire accompagner par un Guide VIP qui organisera votre journée selon vos envies : réservations de restaurants, places privilégiées pour les spectacles et parades... Grâce à lui, vous profiterez de la magie Disney en toute sérénité !Comment réserverJusqu’à 14 jours avant votre arrivée en contactant la Centrale de Réservation au 0 825 300 500 (Service 0,15 €/min + prix appel)Le jour J en vous dirigeant vers City Hall dans le Parc Disneyland"
31,Est-ce possible de modifier une réservation effectuée en ligne ?,Oui. Vous pouvez modifier rapidement et simplement des réservations effectuées en ligne en appelant notre bureau de réservation central. 
32,Comment changer mon pays de résidence ?,"En bas de l'écran, vous verrez un lien vous permettant de modifier votre pays. Cliquez dessus puis sélectionnez le bon pays de résidence. Cela vous dirigera vers la page d'accueil du pays correspondant et sauvegardera cette information pour vos visites ultérieures."
33,Où trouver des informations sur les limites de taille et d'âge pour les attractions de Disneyland Paris ?,"Disneyland Paris accueille les visiteurs de tous les âges et de toutes les tailles.  Si certaines attractions conviennent à tous, d'autres ne sont accessibles qu'à partir d'une certaine taille ou d'un certain âge. Vous pouvez consulter les restrictions en ligne ou consulter les symboles et informations présents devant chaque attraction à votre arrivée dans les Parcs.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité""."
34,Comment fêter un anniversaire à Disneyland Paris ?,"Disneyland Paris est le lieu idéal pour fêter un anniversaire. Avec tant d'attractions palpitantes, de boutiques et de restaurants, la fête sera inoubliable. Vous pouvez même organiser un gâteau dans la plupart des restaurants avec service à table ou buffets.De plus, vous pouvez inviter des Personnages Disney à participer à la fête à l'Auberge de Cendrillon, au Café Mickey et à Inventions. Découvrez nos forfaits hôtels, Parcs et transfert convenant aux familles de tous les âges."
35,Quels sont les horaires d'ouverture du Bureau Pass Annuel ?,"Le Bureau Pass Annuel et son équipe sont à votre disposition de 10h à 16h toute la semaine. (Horaires sujets à modification, consultez-nous)Toute son équipe est à votre disposition pour répondre à vos questions et vous renseigner."
36,Quels services sont disponibles pour les enfants et bébés dans les hôtels Disney ?,"Les enfants sont rois à Disneyland Paris ! Des chauffe-biberons aux services de babysitting, il existe toute une gamme de services pour leur offrir un séjour encore plus spécial et rendre le vôtre encore plus pratique.Trouvez votre forfait hôtel Disney de rêve et réservez votre séjour dès aujourd'hui !En savoir plus sur nos menus enfants et nos solutions pour les personnes ayant des besoins alimentaires particuliersDécouvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité""."
37,Disney Village convient-il aux familles ?,"Oui. Il y a tout ce qu'il faut pour s'amuser en famille au Disney Village. Si les célibataires préféreront peut-être la vie nocturne, il existe de nombreuses options pour les familles. Vous y trouverez un cinéma 15 salles, des restaurants à thème comme le Annette's Diner et notre salle de jeux d'arcade Stadium. Il y a également une zone de shopping pleine de cadeaux et souvenirs pour tous les âges."
38,Quels sont les services proposés par le centre Accueil Animaux ?,"Le centre Accueil Animaux est un environnement accueillant et sécurisé pour votre animal de compagnie. Ils y trouveront de la nourriture et de l'eau. Cependant, nous ne sommes pas autorisés à promener votre animal.Les animaux guides sont les bienvenus sur la plupart des sites Disney. Les visiteurs accompagnés d'animaux guides doivent garder le contrôle de leur animal à tout moment et les tenir en laisse ou les équiper d'un harnais.Centre Accueil Animaux fermé du 16 septembre au 15 novembre 2019 inclus.Pour plus d'informations, reportez-vous au Règlement Intérieur du Point Accueil Animaux."
39,Puis-je désactiver/activer les cookies via mon navigateur ?,"Il existe de nombreux moyens de gérer les cookies et autres technologies de suivi. Via vos paramètres de navigateur, vous pouvez accepter ou refuser des cookies ou configurer votre navigateur de façon à ce qu'il vous demande l'autorisation avant d'accepter un cookie des sites Web que vous visitez. Nous vous informons que vous pourrez ne pas être en mesure d'utiliser toutes nos fonctionnalités interactives si vous configurez votre navigateur de sorte que les cookies soient entièrement désactivés. Si vous utilisez plusieurs ordinateurs à des emplacements différents, vous devrez vous assurer que chaque navigateur est paramétré selon vos préférences. Vous pouvez supprimer tous les cookies installés dans le dossier dédié aux cookies de votre navigateur. Différents navigateurs offrent différentes procédures de gestion de vos paramètres.Vous trouverez ici des instructions pour les navigateurs suivants :Microsoft Windows ExplorerGoogle ChromeMozilla FirefoxApple SafariSi vous n'utilisez aucun des navigateurs indiqués ci-dessus, vous pouvez sélectionner les cookies dans la fonction d'aide de votre navigateur pour trouver des informations sur l'emplacement du dossier dédié aux cookies."
40,Je suis handicapé. Est-ce que je bénéficie d'un accès spécial aux attractions et spectacles ?,"Oui. Vous pouvez obtenir de l'aide pour accéder aux attractions Disney avec une Carte d'accès. Elle vous permet un accès spécifique aux attractions, mais non immédiat selon l'affluence de nos visiteurs, sur l'ensemble de nos Parcs pour vous et vos accompagnateurs. Consultez nos Plans de l'Accessibilité dans les Parcs Disney.Découvrez quelles attractions vous conviennent.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux visiteurs en situation de handicap."
41,Comment puis-je me procurer des tickets FASTPASS le jour de ma visite aux Parcs et diminuer le temps d’attente dans certaines attractions à succès ?,"Rendez-vous à l'entrée de l'attraction que vous souhaitez vivre.Là, vous avez le choix entre 2 files : la file d'attente traditionnelle (temps d'attente variable indiqué sur un panneau) ou l'accès FASTPASS.  Si vous choisissez l'accès FASTPASS, scannez votre Pass Annuel dans une borne spéciale, qui vous délivre automatiquement un ticket FASTPASS.C'est une réservation gratuite indiquant un créneau horaire durant lequel revenir : votre ""rendez-vous"" avec l'attraction indiquée est précisé sur le ticket. Ne le perdez pas ! "
42,Combien de mois sont offerts pour le parrainage de 3 filleuls effectué et validé avant le 28 mars 2017 et sur quels Pass Annuels ?,"Concernant l’offre de parrainage, si le parrain a validé ses 3 filleuls avant le 28 mars 2017 il bénéficiera, au moment de l’expiration de son passeport, de 12 mois gratuits.Si les 3 parrainages sont validés à partir du 29 mars il bénéficiera, au moment de l’expiration de son pass, de 6 mois gratuits.Pour les possesseurs de Passeports Annuels, l’offre de parrainage se fera selon la correspondance suivante :Classic -> DiscoveryFantasy -> Magic FlexDream -> Magic Plus"
43,Comment puis-je exercer mes droits sur les informations à caractère personnel que Disneyland Paris détient à mon sujet ?,"Vous disposez d'un certain nombre de droits, notamment le droit de modifier, supprimer ou demander l'accès à vos informations à caractère personnel, ainsi que le droit de modifier vos préférences marketing (ce qui comprend la possibilité de retirer votre consentement à tout moment). Veuillez consulter nos Règles de respect de la vie privée pour en savoir plus sur la façon dont nous gérons vos informations à caractère personnel, ou contactez customerservice@disney.co.uk."
44,Qu'est-ce que l'Express Check-out ?,L'Express Check-out vous permet de gagner du temps en vous permettant de quitter votre chambre sans repasser par la réception. Cela vous permet de profiter pleinement de votre séjour jusqu'à la dernière minute.Trouvez votre forfait hôtel Disney de rêve et réservez votre séjour dès aujourd'hui !
45,J'ai téléchargé un fichier texte mais je ne peux pas l'ouvrir. Que faire ?,Assurez-vous de disposer du bon programme ou plug-in pour accéder au fichier et qu'il est correctement installé.
46,Un visiteur enregistré peut-il décider de ne plus recevoir de communications ciblées ?,"Vous pouvez choisir à tout moment de ne plus recevoir de communications ciblées de notre part en vous connectant à votre compte enregistré et en choisissant de ne pas recevoir de communications marketing. Pour ne plus recevoir de publicités ciblées basées sur votre comportement en ligne sur ce site et d'autres sites Web, veuillez suivre les instructions fournies ci-dessus (concernant les publicités ciblées). Nous ne partagerons pas vos coordonnées avec nos annonceurs tiers sauf si vous nous en donnez la permission."
47,Le prix du parking est-il inclus dans le billet d'entrée ?,"Non. Le parking est payant (prix forfaitaire journalier). Les visiteurs séjournant dans les hôtels Disney et hôtels partenaires (sauf Adagio City, Apart'hotel Val d'Europe) peuvent se garer gratuitement dans le parking de leur hôtel.Découvrez nos forfaits hôtels, Parcs et transfert."
48,Le prix avec un paiement comptant ou mensuel est-il le même ?,"Oui, le paiement mensuel est disponible sans aucun frais de dossier ni coût supplémentaire. Ce mode de paiement est entièrement gratuit."
49,Qu'est-ce que Disney Village et que peut-on y faire ?,"Disney Village est une zone de divertissement à thème unique en Europe. Vous pouvez y acheter des cadeaux et souvenirs magiques, y dîner, acheter des snacks ou vous détendre autour d'un verre dans l'un des nombreux restaurants et bars à thème, découvrir des effets visuels et sonores au cinéma IMAX ou assister à des concerts de musique en direct, et bien plus encore. C'est une destination de vacances à elle seule. Ouvert jusqu'à tard."
